budget,genres,id,production_companies,release_date,release_month,revenue,tagline,title,vote_average,award_noms
3512454,Drama,110428,"[{'name': 'Canal+', 'id': 5358}, {'name': 'Arte France Cin̩ma', 'id': 6916}, {'name': '3B Productions', 'id': 7184}, {'name': 'C.R.R.A.V. Nord Pas de Calais', 'id': 11433}, {'name': 'Region PACA', 'id': 78987}]",3/13/2013,March,115860,,Camille Claudel 1915,7,0
40000000,Adventure,77221,"[{'name': 'France 2 Cin̩ma', 'id': 83}, {'name': 'Quinta Communications', 'id': 6370}, {'name': 'Carthago Films S.a.r.l.', 'id': 20395}, {'name': 'Prima TV', 'id': 60229}, {'name': 'Doha Film Institute, The', 'id': 72917}]",12/21/2011,December,5446000,,Black Gold,5.9,0
21000000,Crime,1646,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Kernos Filmproduktionsgesellschaft & Company', 'id': 20396}]",1/5/2007,January,41170784,Their story. Their world. Their future.,Freedom Writers,7.6,0
20000000,Action,14396,"[{'name': 'New Line Cinema', 'id': 12}]",1/5/2007,January,10337477,,Code Name: The Cleaner,4.7,0
13000000,Drama,1931,"[{'name': 'Rainforest Films', 'id': 1309}]",5/16/2007,May,75511123,He will challenge their traditions. Their traditions will change his life.,Stomp the Yard,6.1,0
10000000,Action,8398,"[{'name': 'Intrepid Pictures', 'id': 1224}, {'name': 'Focus Films', 'id': 1268}, {'name': 'Platinum Dunes', 'id': 2481}]",1/19/2007,January,25399945,Never pick up strangers.,The Hitcher,5.6,0
60000000,Adventure,1265,"[{'name': 'Walden Media', 'id': 10221}, {'name': 'Hal Lieberman Company', 'id': 23890}, {'name': 'Lauren Levine Productions Inc.', 'id': 60611}]",2/16/2007,February,137587063,"Close your eyes, but keep your mind wide open.",Bridge to Terabithia,7,0
2000000,Comedy,10758,"[{'name': 'Night and Day Pictures', 'id': 24133}]",5/25/2007,May,22179430,If only life were as easy as pie,Waitress,6.6,0
20000000,Action,9760,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Paul Schiff Productions', 'id': 23596}]",1/25/2007,January,86865564,We know it's big. We measured.,Epic Movie,3.2,0
16000000,Mystery,9966,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Ghost House Pictures', 'id': 768}, {'name': 'Mandate Pictures', 'id': 771}, {'name': 'Blue Star Pictures', 'id': 2779}, {'name': 'Screen Gems', 'id': 3287}, {'name': 'Scarecrow Productions', 'id': 22039}]",2/2/2007,February,1109660,There is evidence to suggest that children are highly susceptible to paranormal phenomena. They see what adults cannot. They believe what adults deny. And they are trying to warn us.,The Messengers,5.6,0
50000000,Crime,1248,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'ETIC Films', 'id': 2979}, {'name': 'Quinta Communications', 'id': 6370}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Zephyr Films', 'id': 16923}, {'name': 'Young Hannibal Productions', 'id': 20394}, {'name': 'Carthago Films S.a.r.l.', 'id': 20395}]",2/6/2007,February,82169884,It started with revenge.,Hannibal Rising,6,0
60000000,Comedy,9757,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Tollin/Robbins Productions', 'id': 2184}]",2/8/2007,February,95673607,Have You Ever Made A Really Big Mistake?,Norbit,5,0
150000000,Animation,2062,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Pixar Animation Studios', 'id': 3}]",6/22/2007,June,623722818,He's dying to become a chef.,Ratatouille,7.5,5
110000000,Thriller,1250,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Michael De Luca Productions', 'id': 11370}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'Crystal Sky Pictures', 'id': 20241}, {'name': 'GH One', 'id': 20475}, {'name': 'Vengeance Productions Pty. Ltd.', 'id': 20476}]",2/16/2007,February,228738393,Hell Is About To Be Unleashed,Ghost Rider,5.2,0
10000000,Comedy,16555,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Tyler Perry Company, The', 'id': 3096}]",2/14/2007,February,31609243,Family Comes First,Daddy's Little Girls,6.6,0
40000000,Comedy,11172,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Reserve Room', 'id': 10222}, {'name': 'Flower Films (II)', 'id': 19813}]",2/9/2007,February,145896422,Share the music with someone you love.,Music and Lyrics,6.2,0
30000000,Thriller,3594,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Contrafilm', 'id': 1836}, {'name': 'Firm Films', 'id': 1838}]",2/23/2007,February,77566815,First it takes hold of your mind...then it takes hold of your life.,The Number 23,6.3,0
10000000,Action,10090,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Comedy Central Films', 'id': 7480}, {'name': 'Principato-Young Entertainment', 'id': 37845}, {'name': 'High Sierra Carpeting', 'id': 89635}]",2/23/2007,February,20342161,"In a time of crisis, America will call Reno 911!",Reno 911!: Miami,5.6,0
12000000,Crime,4638,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Big Talk Productions', 'id': 443}, {'name': 'StudioCanal', 'id': 694}, {'name': 'GAGA', 'id': 3656}, {'name': 'Working Title Films', 'id': 10163}]",2/14/2007,February,80573774,Big cops. Small town. Moderate violence.,Hot Fuzz,7.4,0
70000000,Action,1738,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Virtual Studios', 'id': 449}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Saturn Films', 'id': 831}, {'name': 'Broken Road Productions', 'id': 8000}]",4/24/2007,April,76066841,"If you can see the future, you can save it.",Next,5.9,0
65000000,Crime,1949,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Phoenix Pictures', 'id': 11317}]",3/2/2007,March,84785914,There's more than one way to lose your life to a killer.,Zodiac,7.3,0
16500000,Drama,2977,"[{'name': 'Ecosse Films', 'id': 1267}, {'name': '2 Entertain', 'id': 2689}, {'name': 'Bueprint Pictures', 'id': 6342}]",3/2/2007,March,37311672,Her own life is her greatest inspiration.,Becoming Jane,6.9,0
11000000,Comedy,14434,"[{'name': 'Fox Searchlight Pictures', 'id': 43}]",3/16/2007,March,13196245,In marriage no one can hear you scream.,I Think I Love My Wife,5,0
20000000,Thriller,9963,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Hyde Park Films', 'id': 1172}, {'name': 'Offspring Entertainment', 'id': 2378}]",2/8/2007,February,84146832,Reality is only a nightmare away,Premonition,5.8,0
20000000,Horror,14001,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Twisted Pictures', 'id': 2061}, {'name': 'Evolution Entertainment', 'id': 23019}]",3/16/2007,March,22217407,You scream. You die.,Dead Silence,6.2,0
20000000,Drama,2355,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Sunlight Productions', 'id': 3800}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Madison 23', 'id': 11708}]",3/23/2007,March,22222308,Let in the unexpected.,Reign Over Me,7.1,0
61000000,Action,7485,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Grosvenor Park Impact Productions', 'id': 57421}]",3/22/2007,March,95696996,Yesterday was about honor. Today is about justice.,Shooter,6.9,0
34000000,Adventure,1273,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Imagi Animation Studios', 'id': 3463}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Mirage Studios', 'id': 30900}, {'name': 'Imagi Production', 'id': 70995}]",3/23/2007,March,95608995,,TMNT,6,0
16000000,Crime,8270,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Spyglass Entertainment', 'id': 158}]",3/9/2007,March,5367030,Whoever has the money has the power,The Lookout,6.6,0
40000000,Thriller,1683,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Dark Castle Entertainment', 'id': 1786}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Eyetronics', 'id': 15763}, {'name': 'Chime Films', 'id': 19965}]",4/5/2007,April,62771059,What Hath God Wrought?,The Reaping,5.4,0
150000000,Animation,1267,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]",3/23/2007,March,169332978,Think your family's weird?,Meet the Robinsons,6.7,0
50000000,Science Fiction,1272,"[{'name': 'DNA Films', 'id': 284}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}]",4/5/2007,April,32017803,"If the sun dies, so do we.",Sunshine,7,0
60795000,Crime,7183,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}]",4/12/2007,April,73090611,How Far Would You Go To Keep A Secret?,Perfect Stranger,5.4,0
